"size","decay","mse"
7,0.24,0.522280200401052
4,0.25,0.522259704505618
5,0.25,0.522268072538865
6,0.25,0.522261693743177
7,0.25,0.522252238710149
4,0.26,0.522233389324962
5,0.26,0.522239483951718
6,0.26,0.522235009006194
7,0.26,0.522227036350726
4,0.27,0.522206445134593
5,0.27,0.52221155522291
6,0.27,0.522209151724208
7,0.27,0.522202745409127
4,0.28,0.522181116886006
5,0.28,0.522189258355969
6,0.28,0.522187084960169
7,0.28,0.52217848071577
4,0.29,0.522159685242922
5,0.29,0.522165744568892
6,0.29,0.522163827925592
7,0.29,0.522157771903285
4,0.3,0.522139379703342
5,0.3,0.522143123196723
6,0.3,0.522144318731573
7,0.3,0.522140095352443
4,0.31,0.522118634208427
5,0.31,0.522125252875622
6,0.31,0.522124090945806
7,0.31,0.522121449697881
4,0.32,0.522100631369204
5,0.32,0.52210760367453
6,0.32,0.52210759180122
7,0.32,0.522103243497017
4,0.33,0.522082906271502
5,0.33,0.522089395409139
6,0.33,0.522090898212768
7,0.33,0.522087249264382
4,0.34,0.522065589372766
5,0.34,0.522073570150503
6,0.34,0.522074113907746
7,0.34,0.522071602853888
4,0.35,0.522053037311575
5,0.35,0.522058336365738
6,0.35,0.52205796871605
7,0.35,0.522056260429089
4,0.36,0.522036985332316
5,0.36,0.522043997184259
6,0.36,0.522045670213192
7,0.36,0.522042915751604
4,0.37,0.522023450148751
5,0.37,0.52202955756132
6,0.37,0.522032061118617
7,0.37,0.522029109523973
4,0.38,0.522009872666598
5,0.38,0.522016667849444
6,0.38,0.522018310843887
7,0.38,0.522016882027039
4,0.39,0.521998925802066
5,0.39,0.522004013311215
6,0.39,0.522005906036588
7,0.39,0.522004985988124
4,0.4,0.521987971833098
5,0.4,0.521993052870026
6,0.4,0.521994328694519
7,0.4,0.521993188956191
4,0.41,0.521977691699694
5,0.41,0.521982224484281
6,0.41,0.521983719574232
7,0.41,0.521980027647713
4,0.42,0.521967329310661
5,0.42,0.521971938160082
6,0.42,0.521972653984379
7,0.42,0.521971077754932
4,0.43,0.521958234033328
5,0.43,0.5219623016964
6,0.43,0.521962744261014
7,0.43,0.521961064758506
4,0.44,0.521949304369282
5,0.44,0.521952190297723
6,0.44,0.521953137367338
7,0.44,0.521952320485528
4,0.45,0.521941259544761
5,0.45,0.5219440516187
6,0.45,0.521944008428527
7,0.45,0.52194267909086
4,0.46,0.521934510872365
5,0.46,0.521935475021787
6,0.46,0.521935325119246
